,promotion_last_5years,Work_accident,satisfaction_level,average_montly_hours,last_evaluation,number_project,department,department_id,time_spend_company,left
0,0,0,0.41,128,0.46,2,accounting,2,3,1
1,0,0,0.38,132,0.5,2,accounting,2,3,1
2,0,0,0.09,294,0.62,6,accounting,2,4,1
3,0,0,0.39,142,0.56,2,accounting,2,3,1
4,0,0,0.24,224,0.46,7,accounting,2,5,1
5,0,0,0.91,257,1.0,4,accounting,2,5,1
6,0,0,0.44,148,0.5,2,accounting,2,3,1
7,0,0,0.11,304,0.8,6,accounting,2,4,1
8,0,0,0.1,261,0.84,6,accounting,2,4,1
9,0,0,0.89,257,0.99,5,accounting,2,5,1
10,0,0,0.11,285,0.8,6,accounting,2,4,1
11,0,0,0.4,149,0.56,2,accounting,2,3,1
12,0,0,0.9,258,0.97,4,accounting,2,5,1
13,0,0,0.11,244,0.83,6,accounting,2,4,1
14,0,1,0.88,232,0.88,5,accounting,2,5,1
15,0,0,0.11,287,0.84,6,accounting,2,4,1
16,0,0,0.46,154,0.46,2,accounting,2,3,1
17,0,0,0.41,145,0.48,2,accounting,2,3,1
18,0,0,0.1,290,0.81,6,accounting,2,4,1
19,0,0,0.45,151,0.47,2,accounting,2,3,1
20,0,0,0.77,266,0.87,5,accounting,2,5,1
21,0,0,0.44,158,0.56,2,accounting,2,3,1
22,0,0,0.31,238,0.56,4,accounting,2,2,1
23,0,0,0.36,156,0.48,2,accounting,2,3,1
24,0,0,0.28,218,0.45,6,accounting,2,4,1
25,0,0,0.84,262,0.99,4,accounting,2,6,1
26,0,0,0.45,138,0.53,2,accounting,2,3,1
27,0,0,0.43,135,0.49,2,accounting,2,3,1
28,0,0,0.38,135,0.49,2,accounting,2,3,1
29,0,0,0.19,192,1.0,4,accounting,2,4,1
30,0,0,0.1,276,0.83,7,accounting,2,4,1
31,0,0,0.39,145,0.57,2,accounting,2,3,1
32,0,0,0.4,137,0.56,2,accounting,2,3,1
33,0,0,0.11,305,0.85,6,accounting,2,4,1
34,0,0,0.4,160,0.57,2,accounting,2,3,1
35,0,0,0.1,291,0.77,7,accounting,2,4,1
