Weekend,StoreNum,Item,Qty
1,1,1,4
1,1,2,11
1,1,3,3
1,1,4,7
1,1,6,1
1,1,7,8
1,1,8,5
1,1,9,2
1,1,10,9
1,1,12,9
1,1,14,9
1,1,15,3
1,1,17,4
1,1,19,3
1,1,20,5
1,1,21,5
1,1,23,6
1,1,24,1
1,1,27,2
1,1,28,4
1,1,29,7
1,1,30,3
1,1,31,5
1,1,33,7
1,1,34,2
1,1,35,4
1,1,36,1
1,1,37,2
1,1,39,3
1,1,40,3
1,1,41,7
1,1,42,9
1,1,43,3
1,1,44,1
1,1,45,4
1,1,47,12
1,1,48,10
1,1,49,11
0,1,2,2
0,1,4,4
0,1,7,2
0,1,10,2
0,1,11,3
0,1,13,2
0,1,14,5
0,1,15,4
0,1,16,7
0,1,18,3
0,1,19,5
0,1,23,4
0,1,25,1
0,1,27,2
0,1,29,1
0,1,31,3
0,1,34,4
0,1,44,1
0,1,47,3
0,1,49,2
1,1,1,6
1,1,3,5
1,1,5,5
1,1,6,5
1,1,13,5
1,1,14,6
1,1,15,2
1,1,16,10
1,1,18,6
1,1,19,2
1,1,20,5
1,1,21,11
1,1,22,10
1,1,23,2
1,1,27,12
1,1,28,3
1,1,32,8
1,1,34,3
1,1,35,9
1,1,36,4
1,1,40,4
1,1,44,3
1,1,45,5
1,1,47,1
1,1,49,4
0,1,3,1
0,1,4,6
0,1,9,8
0,1,17,7
0,1,21,3
0,1,31,5
0,1,32,1
0,1,33,1
0,1,37,8
0,1,40,5
0,1,41,1
0,1,43,1
0,1,44,3
0,1,47,2
0,1,48,2
0,1,49,1
1,1,0,2
1,1,2,1
1,1,4,1
1,1,5,5
1,1,6,5
1,1,7,13
1,1,8,2
1,1,9,5
1,1,10,1
1,1,11,9
1,1,12,3
1,1,14,8
1,1,15,5
1,1,17,9
1,1,19,2
1,1,21,1
1,1,22,3
1,1,29,2
1,1,31,1
1,1,33,2
1,1,36,3
1,1,37,9
1,1,38,5
1,1,43,3
1,1,45,6
1,1,46,5
1,1,47,3
1,1,48,4
1,1,49,2
1,2,0,33
1,2,1,30
1,2,2,32
1,2,3,31
1,2,4,45
1,2,5,39
1,2,6,5
1,2,7,39
1,2,8,8
1,2,9,28
1,2,10,22
1,2,11,25
1,2,12,17
1,2,13,8
1,2,14,37
1,2,15,19
1,2,16,40
1,2,17,22
1,2,18,31
1,2,19,17
1,2,20,19
1,2,21,21
1,2,22,39
1,2,23,10
1,2,24,25
1,2,25,30
1,2,26,20
1,2,27,25
1,2,28,25
1,2,29,19
1,2,30,15
1,2,31,32
1,2,32,33
1,2,33,39
1,2,34,22
1,2,35,29
1,2,36,12
1,2,37,37
1,2,38,15
1,2,39,18
1,2,40,13
1,2,41,4
1,2,42,36
1,2,43,18
1,2,44,37
1,2,45,55
1,2,46,53
1,2,47,30
1,2,48,21
1,2,49,31
1,3,0,24
1,3,1,37
1,3,2,6
1,3,3,23
1,3,4,46
1,3,5,45
1,3,6,16
1,3,7,44
1,3,8,19
1,3,9,22
1,3,10,14
1,3,11,28
1,3,12,33
1,3,13,18
1,3,14,47
1,3,15,24
1,3,16,16
1,3,17,63
1,3,18,48
1,3,19,30
1,3,20,21
1,3,21,27
1,3,22,47
1,3,23,22
1,3,24,22
1,3,25,17
1,3,26,28
1,3,27,24
1,3,28,43
1,3,29,48
1,3,30,20
1,3,31,22
1,3,32,23
1,3,33,14
1,3,34,11
1,3,35,37
1,3,36,17
1,3,37,18
1,3,38,23
1,3,39,13
1,3,40,23
1,3,41,28
1,3,42,20
1,3,43,38
1,3,44,14
1,3,45,26
1,3,46,28
1,3,47,52
1,3,48,22
1,3,49,30
1,4,0,33
1,4,1,51
1,4,2,31
1,4,3,24
1,4,4,34
1,4,5,25
1,4,6,8
1,4,7,34
1,4,8,8
1,4,9,46
1,4,10,17
1,4,11,22
1,4,12,36
1,4,14,33
1,4,15,33
1,4,16,42
1,4,17,16
1,4,18,21
1,4,19,38
1,4,20,27
1,4,21,12
1,4,22,41
1,4,23,18
1,4,24,28
1,4,25,21
1,4,26,18
1,4,27,35
1,4,28,50
1,4,29,44
1,4,30,6
1,4,31,30
1,4,32,32
1,4,33,12
1,4,34,14
1,4,35,52
1,4,36,25
1,4,37,13
1,4,38,18
1,4,39,32
1,4,40,37
1,4,41,19
1,4,42,36
1,4,43,19
1,4,44,26
1,4,45,50
1,4,46,30
1,4,47,37
1,4,48,31
1,4,49,36
1,5,0,18
1,5,1,32
1,5,2,29
1,5,3,22
1,5,4,30
1,5,5,22
1,5,6,15
1,5,7,27
1,5,8,17
1,5,9,19
1,5,10,16
1,5,11,13
1,5,12,10
1,5,13,16
1,5,14,17
1,5,15,24
1,5,16,44
1,5,17,22
1,5,18,20
1,5,19,29
1,5,20,5
1,5,21,10
1,5,22,35
1,5,23,18
1,5,24,18
1,5,25,13
1,5,26,9
1,5,27,29
1,5,28,29
1,5,29,36
1,5,30,10
1,5,31,13
1,5,32,41
1,5,33,16
1,5,34,13
1,5,35,34
1,5,36,7
1,5,37,10
1,5,38,23
1,5,39,8
1,5,40,8
1,5,41,17
1,5,42,36
1,5,43,23
1,5,44,17
1,5,45,32
1,5,46,17
1,5,47,33
1,5,48,22
1,5,49,19
1,6,0,39
1,6,1,16
1,6,2,45
1,6,3,20
1,6,4,35
1,6,5,51
1,6,6,50
1,6,7,73
1,6,8,34
1,6,9,27
1,6,10,26
1,6,11,25
1,6,12,29
1,6,13,24
1,6,14,33
1,6,15,29
1,6,16,16
1,6,17,15
1,6,18,47
1,6,19,25
1,6,20,12
1,6,21,13
1,6,22,72
1,6,23,26
1,6,24,39
1,6,25,14
1,6,26,18
1,6,27,28
1,6,28,41
1,6,29,26
1,6,30,11
1,6,31,15
1,6,32,21
1,6,33,36
1,6,34,30
1,6,35,19
1,6,36,18
1,6,37,39
1,6,38,11
1,6,39,10
